stop_id,stop_name,transfers,borough
257,New Lots Av,3,Bk
256,Van Siclen Av,3,Bk
255,Pennsylvania Av,3,Bk
254,Junius St,3,Bk
253,Rockaway Av,3,Bk
252,Saratoga Av,3,Bk
251,Sutter Av-Rutland Rd,3,Bk
250,Crown Hts-Utica Av,3 4,Bk
249,Kingston Av,3,Bk
248,Nostrand Av,3,Bk
BOT,Franklin Avenue-Medgar Evers College,2 3 4 5 Sf,Bk
238,Eastern Pkwy-Brooklyn Museum,2 3,Bk
237,Grand Army Plaza,2 3,Bk
236,Bergen St,2 3,Bk
AAB,Atlantic Av-Barclays Ctr,2 3 4 5 B Q D N R,Bk
234,Nevins St,2 3 4 5,Bk
233,Hoyt St,2 3,Bk
BOR,Borough Hall,2 3 4 5 R,Bk
231,Clark St,2 3,Bk
230,Wall St,2 3,M
FUL,Fulton St,2 3 4 5 A C J Z,M
WTC,Park Place,2 3 A C E R W,M
137,Chambers St,1 2 3,M
132,14 St-6 Av,1 2 3 F M L,M
PEN,34 St-Penn Station,A C E 1 2 3,M
127,Times Sq-42 St,1 2 3 7 A C E N Q R W S,M
123,72 St,1 2 3,M
120,96 St,1 2 3,M
227,Central Park North (110 St),2 3,M
226,116 St,2 3,M
225,125 St,2 3,M
224,135 St,2 3,M
301,Harlem-148 St,3,M
